,NSC,SMILES
241936,689577,CCC(C)(CC(C)(C)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CC=CC=C2)C(=O)NCC(=O)NC3CC(OC(C3O)C)OC4CC(CC5=C4C(=C6C(=C5O)C(=O)C7=C(C6=O)C(=CC=C7)OC)O)(C(=O)CO)O)C(=O)NCC(C)O
244560,695797,CC(=O)N[C@]12CC[C@H](C1)C(C2=O)(C)C
244561,695798,COC1=C(C(=C2C(=C1)CCC(C3=C2C=CC(=C3)SC)O)OC)OC
244701,696252,COC1=CC=C(C=C1)C(=O)C#CC2=CN=C(N=C2OC)OC
244707,696259,CC1=CC2=C(C=C1CN(CC#C)C3=CC(=C(C=C3)C(=O)N[C@@H](CCC4=NNN=N4)C(=O)O)F)C(=O)NC(=N2)C
244863,696860,C1CN(CCN(CCN1CC(=O)O)CC(=O)O)CC(=O)O
244864,696861,C1CN(CCNCCN(CCN(CCN1)CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O
244963,697123,CC1=C2C(=C(C(=C1O)OC3=C(C(=C(C(=C3C)O)O)[C@H](C)CCC=C(C)C)O)[C@H](C)CCC=C(C)C)OC(=N2)C(=O)OC
249271,707961,C1CN(C(=N1)N)CC(=O)O
251571,712807,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
254710,719344,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
265083,744479,C(C(=O)O)(Cl)Cl.[Na+]
266264,747803,C1=CC=C2C(=C1)C(=O)/C(=C\NC3=CC(=C(C=C3)C(=O)O)O)/C(O2)O
266265,747804,C1=CC=C2C(=C1)C(=O)/C(=C\NC3=CC(=C(C=C3)O)C(=O)O)/C(O2)O
280545,783840,COC(=O)CCC(=O)C(=O)OC
52722,61586,[R]C(=O)c1csc(n1)C2CSC(=N2)CCNC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c3nc(nc(N)c3C)C(CC(=O)N)NCC(N)C(=O)N)C(OC4OC(CO)C(O)C(O)C4OCCC5OC(CO)C(O)C(OC(=O)N)C5O)c6c[nH]cn6)C(=O)C
59922,71935,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C3NC(=O)C(Cc4ccccc4)NC(=O)C5CCCN5C(=O)CNC(=O)C(Cc6ccccc6)NC(=O)C7CNCCCCC(NC(=O)C8NC(=O)C(CC(=O)N)NC(=O)CNC(=O)C(NC(=O)C(CSCC(NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(N)CSC8C)C(=O)NC(CSC3C)C(=O)N7)NC1=O)C(O)C(=O)O)C(=O)O
59923,71936,CC(C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]3NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H]5CCCN5C(=O)CNC(=O)[C@H](Cc6ccccc6)NC(=O)[C@@H]7CNCCCC[C@H](NC(=O)[C@H]8NC(=O)[C@H](CC(=O)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CSC[C@H](NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CS[C@@H]8C)C(=O)N[C@@H](CS[C@H]3C)C(=O)N7)NC1=O)[C@@H](O)C(=O)O)C(=O)O
63754,76779,CCCCC1CCCCCCc2cc1c(\C=C\3/N=C(C=C3OC)c4ccc[nH]4)[nH]2
68279,83340,Cn1cnc2nc(Cl)nc(N)c12
