,NSC,CID,SMILES,MECHANISM
222,7801,407617,CC1=CC=C(C=C1)[N+]2=C3C=C(C(=CC3=NC4=C2C=C(C(=C4)C)N)C)NC5=CC=CC=C5,Other
223,7811,73516,CN(C)C1=CC=C(C=C1)N=C2C=CC(=[N+](C)C)C=C2.[Cl-],Other
224,7813,24181324,CCN(CC)C1=CC2=C(C=C1C)N=C3C(=CC(=CC3=N)N)O2.Cl,Other
225,7821,102162,CC[N+](=C1C=C2C(=NC3=C(O2)C=C(C=C3)N(C)C)C=C1C)CC.[Cl-],Other
226,7833,31420,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)N)N,Other
227,7853,75281,CN1C=NC2=C1C(=NC(=N2)Cl)Cl,Other
228,8101,892,C1(C(C(C(C(C1O)O)O)O)O)O,Other
229,8117,54676860,C(C(C1C(=C(C(=O)O1)O)O)O)O,Other
230,33832,54676860,C(C(C1C(=C(C(=O)O1)O)O)O)O,Other
231,8120,4696,C1C=C2C(=CC(=O)O2)C(O1)O,Other
232,32951,4696,C1C=C2C(=CC(=O)O2)C(O1)O,Other
233,8174,3034162,C1=CC=C(C=C1)N=C(N)N=C(N)N.C1=CC=C2C(=C1)NC(=S)S2,Other
234,8179,222304,C1=CC=C(C=C1)C2=NC(=NN2)NC(=O)N,Other
235,8360,222439,CCN(CC)CCCC(C1=CC=C(C=C1)F)NC2=C3C=C(C=CC3=NC4=C2C=CC(=C4)Cl)OC,Other
236,8552,13694,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)Cl,Other
237,8643,135436514,CN(C)C1=CC2=C(C=C1)NC3=C(O2)C(=O)C(=O)C=C3C(=O)[NH3+].[Cl-],Other
238,8672,24181402,CCN=C1C=CC(=C(C2=CC=C(C=C2)N)C3=CC(=C(C=C3)N(CC)CC)C)C=C1.Cl,Other
239,8673,54605107,CC1=CC(=C(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)[N+](C)(C)C)C=CC1=[N+](C)C.[Cl-],Other
240,8675,16955,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=C(C=C3)N(CC)CC.[Cl-],Other
241,8704,3728,C1=CC2=C(C(=C(C=C2I)I)O)N=C1,Other
242,8786,16682740,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,Other
243,8806,9927978,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl.Cl,DNA
244,8974,54609012,C1=CC(=CC=C1Br)[I+]C2=CC=C(C=C2)Br.I,Other
245,8982,24181416,C1=CC=C(C=C1)[I+]C2=CC=CC=C2.C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],Other
246,8985,54601177,CC1=CC=C(C=C1)[I+]C2=CC=C(C=C2)C.Br,Other
247,8994,54602012,CC(C)(C)C1=CC=C(C=C1)[I+]C2=CC=C(C=C2)C(C)(C)C.Cl,Other
248,8995,62331,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O,Other
